Region,Pop-2010,Area(km.²),,,,,,,,
Al Bāhah,"406,724","9,921",,,,,,,,
Al Ḥudūd ash Shamāliyah,"311,473","111,797",,,,,,,,
Al Jawf,"428,266","100,212",,,,,,,,
Al Madīnah,"1,694,749","151,990",,,,,,,,
Al Qaṣīm,"1,184,365","58,046",,,,,,,,
Ar Riyāḍ,"6,505,509","404,240",,,,,,,,
Ash Sharqīyah,"3,799,773","672,522",,,,,,,,
`Asīr,"1,897,236","76,693",,,,,,,,
Ḥā'il,"593,308","103,887",,,,,,,,
Jīzan,"1,332,262","11,671",,,,,,,,
Makkah,"6,662,597","153,128",,,,,,,,
Najrān,"496,613","149,511",,,,,,,,
Tabūk,"777,680","146,072",,,,,,,,
,,,,,,,,,,
